Gene Names,Gene Names (primary),Reviewed,Organism,Protein ID
GAK,GAK,unreviewed,Homo sapiens (Human),D6RAW3
Coro2b;LOC300768;rCG_58259,Coro2b,unreviewed,Rattus norvegicus (Rat),F1LMV9
Gda;rCG_47258,Gda,unreviewed,Rattus norvegicus (Rat),Q9JKB7
UBXN2B,UBXN2B,reviewed,Homo sapiens (Human),Q14CS0
SEPTIN11,SEPTIN11,unreviewed,Homo sapiens (Human),H0Y961
DHCR24,DHCR24,unreviewed,Homo sapiens (Human),A0A0A0MTI1
ATP5F1A,ATP5F1A,unreviewed,Homo sapiens (Human),K7EK77
Psen1;Psnl1,Psen1,reviewed,Rattus norvegicus (Rat),P97887
CYTH2;PSCD2;hCG_1998017,CYTH2,unreviewed,Homo sapiens (Human),G5E9B7
AMPD3,AMPD3,unreviewed,Homo sapiens (Human),H0YDC3
SCIN,SCIN,unreviewed,Homo sapiens (Human),F8WBX5
TAMM41,TAMM41,unreviewed,Homo sapiens (Human),A0A0G2JQ92
GOLGA4,GOLGA4,unreviewed,Homo sapiens (Human),H0Y6I0
ABLIM3,ABLIM3,unreviewed,Homo sapiens (Human),A0A0C4DGA7
RGS20,RGS20,unreviewed,Homo sapiens (Human),B3KSW4
ACTR3,ACTR3,unreviewed,Homo sapiens (Human),F8WE84
PRPSAP2,PRPSAP2,unreviewed,Homo sapiens (Human),C9JJS3
PDLIM5,PDLIM5,unreviewed,Homo sapiens (Human),D6RGG6
S100a9;Mrp14,S100a9,reviewed,Rattus norvegicus (Rat),P50116
PRPF31;PRP31,PRPF31,reviewed,Homo sapiens (Human),Q8WWY3
PPP2CA,PPP2CA,unreviewed,Homo sapiens (Human),E7ESG8
EIF4A3,EIF4A3,unreviewed,Homo sapiens (Human),I3L3H2
IGHV4OR15-8,IGHV4OR15-8,unreviewed,Homo sapiens (Human),A0A075B7B6
TARDBP,TARDBP,unreviewed,Homo sapiens (Human),B1AKP7
ZNF251,ZNF251,unreviewed,Homo sapiens (Human),H0YCK5
CLEC3B;TNA,CLEC3B,reviewed,Homo sapiens (Human),P05452
SART1,SART1,reviewed,Homo sapiens (Human),O43290
RAB30,RAB30,unreviewed,Homo sapiens (Human),E9PJQ5
Arhgap5,Arhgap5,unreviewed,Rattus norvegicus (Rat),A0A0G2K7N9
NTM,NTM,unreviewed,Homo sapiens (Human),F8W8Y1
PEPD,PEPD,unreviewed,Homo sapiens (Human),K7ES25
KIF13B,KIF13B,unreviewed,Homo sapiens (Human),F2Z2F9
SETSIP;SETP18,SETSIP,reviewed,Homo sapiens (Human),P0DME0
PIGT,PIGT,unreviewed,Homo sapiens (Human),A0A1W2PNW9
STX8,STX8,unreviewed,Homo sapiens (Human),I3L3D0
DTX2,DTX2,unreviewed,Homo sapiens (Human),Q75MM6
Tnfaip8l3;Tnfaip8l3_predicted;rCG_58149,Tnfaip8l3,unreviewed,Rattus norvegicus (Rat),F1LX20
SH3GL1;CNSA1;SH3D2B,SH3GL1,reviewed,Homo sapiens (Human),Q99961
,,unreviewed,Homo sapiens (Human),E9PLN8
TPM4;hCG_1999582,TPM4,unreviewed,Homo sapiens (Human),A0A5F9UN72
KCNMA1,KCNMA1,unreviewed,Homo sapiens (Human),A0A1W2PRE5
COPS4,COPS4,unreviewed,Homo sapiens (Human),D6REK7
Hnrnpdl;Hnrpdl,Hnrnpdl,reviewed,Rattus norvegicus (Rat),Q3SWU3
CLTC,CLTC,unreviewed,Homo sapiens (Human),J3KS13
TANC2;KIAA1148;KIAA1636,TANC2,reviewed,Homo sapiens (Human),Q9HCD6
TUBGCP5,TUBGCP5,unreviewed,Homo sapiens (Human),A0A087WVZ8
RBMXL1,RBMXL1,unreviewed,Homo sapiens (Human),A0A1B0GUK8
IGHG4,IGHG4,unreviewed,Homo sapiens (Human),A0A286YFJ8
CSTA;STF1;STFA,CSTA,reviewed,Homo sapiens (Human),P01040
S100B,S100B,unreviewed,Homo sapiens (Human),A8MRB1
Sin3a,Sin3a,unreviewed,Rattus norvegicus (Rat),D3ZBP2
CBX1,CBX1,unreviewed,Homo sapiens (Human),C9JWS9
Map4k3,Map4k3,unreviewed,Rattus norvegicus (Rat),R9PXT4
PPP1R21;CCDC128;KLRAQ1,PPP1R21,reviewed,Homo sapiens (Human),Q6ZMI0
CACNA2D1,CACNA2D1,unreviewed,Homo sapiens (Human),E7ERK3
UBE2C,UBE2C,unreviewed,Homo sapiens (Human),A0A087WVK1
CTSB,CTSB,unreviewed,Homo sapiens (Human),E9PHZ5
ACBD6,ACBD6,reviewed,Homo sapiens (Human),Q9BR61
BCAS3,BCAS3,unreviewed,Homo sapiens (Human),K7EIR7
Uqcrc1,Uqcrc1,reviewed,Rattus norvegicus (Rat),Q68FY0
HTRA2,HTRA2,unreviewed,Homo sapiens (Human),A0A0C4DG44
Kcna1,Kcna1,reviewed,Rattus norvegicus (Rat),P10499
Tyms,Tyms,reviewed,Rattus norvegicus (Rat),P45352
Psmd6;rCG_42172,Psmd6,unreviewed,Rattus norvegicus (Rat),Q6PCT9
SGCE,SGCE,unreviewed,Homo sapiens (Human),A0A2R8Y5H7
NUDT5,NUDT5,unreviewed,Homo sapiens (Human),H0YEY4
PAX6,PAX6,unreviewed,Homo sapiens (Human),A0A1W2PSA8
Ugt1a6;Ugt1,Ugt1a6,reviewed,Rattus norvegicus (Rat),P08430
MYOF,MYOF,unreviewed,Homo sapiens (Human),H0YD14
MYOM1,MYOM1,unreviewed,Homo sapiens (Human),J3KRK2
BTBD11,BTBD11,unreviewed,Homo sapiens (Human),H0YHR1
RBM39,RBM39,unreviewed,Homo sapiens (Human),Q5QP23
,,unreviewed,Homo sapiens (Human),G3V5I3
,,unreviewed,Homo sapiens (Human),A0A1W2PP11
RNF34,RNF34,unreviewed,Homo sapiens (Human),G3V504
Rbms2,Rbms2,unreviewed,Rattus norvegicus (Rat),A0A0G2JYJ7
Tshz2,Tshz2,unreviewed,Rattus norvegicus (Rat),M0R6R4
AGT;SERPINA8,AGT,reviewed,Homo sapiens (Human),P01019
PBK,PBK,unreviewed,Homo sapiens (Human),E5RIE1
ARHGEF1,ARHGEF1,unreviewed,Homo sapiens (Human),M0QYC1
TOR2A;HEMBA1005096;PSEC0218,TOR2A,reviewed,Homo sapiens (Human),Q8N2E6
Srp19;Srp19_predicted;rCG_49577,Srp19,unreviewed,Rattus norvegicus (Rat),B2RZ66
TRIP13,TRIP13,unreviewed,Homo sapiens (Human),H0YAL2
Mgat3;Gnt3,Mgat3,reviewed,Rattus norvegicus (Rat),Q02527
ARG1,ARG1,reviewed,Homo sapiens (Human),P05089
Cep295nl;Ddc8;Timp2;rCG_33114,Cep295nl,unreviewed,Rattus norvegicus (Rat),Q6AY32
HMGXB4,HMGXB4,unreviewed,Homo sapiens (Human),B0QXZ9
CXCL12;SDF1;SDF1A;SDF1B,CXCL12,reviewed,Homo sapiens (Human),P48061
TSFM,TSFM,unreviewed,Homo sapiens (Human),F8VPA7
SERPINC1;AT3;PRO0309,SERPINC1,reviewed,Homo sapiens (Human),P01008
VPS16,VPS16,unreviewed,Homo sapiens (Human),Q5JUB0
CEP290;BBS14;KIAA0373;NPHP6,CEP290,reviewed,Homo sapiens (Human),O15078
IGHV7-4-1,IGHV7-4-1,reviewed,Homo sapiens (Human),A0A0J9YVY3
COG4,COG4,unreviewed,Homo sapiens (Human),H3BQB2
BAX,BAX,unreviewed,Homo sapiens (Human),I6LPK7
MRAS;RRAS3,MRAS,reviewed,Homo sapiens (Human),O14807
TPI1;TPI,TPI1,reviewed,Homo sapiens (Human),P60174
YWHAZ,YWHAZ,unreviewed,Homo sapiens (Human),E7EVZ2
SDHC;CYB560;SDH3,SDHC,reviewed,Homo sapiens (Human),Q99643
Tp53i11;Pig11,Tp53i11,reviewed,Rattus norvegicus (Rat),B3DMA0
Pygb,Pygb,reviewed,Rattus norvegicus (Rat),P53534
SQOR,SQOR,unreviewed,Homo sapiens (Human),H3BMS6
ATRX,ATRX,unreviewed,Homo sapiens (Human),A0A096LNL9
Phf2,Phf2,unreviewed,Rattus norvegicus (Rat),A0A0G2KAI2
CDC73,CDC73,unreviewed,Homo sapiens (Human),A0A3B3ISN2
ASAP3,ASAP3,unreviewed,Homo sapiens (Human),H0YER8
SMS,SMS,reviewed,Homo sapiens (Human),P52788
STOM,STOM,unreviewed,Homo sapiens (Human),F8VSL7
Selenot;Selt,Selenot,unreviewed,Rattus norvegicus (Rat),F8WFN1
MDH1,MDH1,unreviewed,Homo sapiens (Human),B9A041
CNN2,CNN2,unreviewed,Homo sapiens (Human),B4DUT8
OSBPL9,OSBPL9,unreviewed,Homo sapiens (Human),E9PK98
UBXN7;KIAA0794;UBXD7,UBXN7,reviewed,Homo sapiens (Human),O94888
Erlec1;RGD1306508_predicted;rCG_23332,Erlec1,unreviewed,Rattus norvegicus (Rat),D3ZF97
SFSWAP;SFRS8;SWAP,SFSWAP,reviewed,Homo sapiens (Human),Q12872
CTU1;ATPBD3;NCS6,CTU1,reviewed,Homo sapiens (Human),Q7Z7A3
LSM14B,LSM14B,unreviewed,Homo sapiens (Human),A0A0C4DFV2
PSME2,PSME2,unreviewed,Homo sapiens (Human),H0YM70
TAF6,TAF6,unreviewed,Homo sapiens (Human),C9JHQ8
FBP1;FBP,FBP1,reviewed,Homo sapiens (Human),P09467
NCALD,NCALD,unreviewed,Homo sapiens (Human),E5RHE8
PCDHGB7,PCDHGB7,reviewed,Homo sapiens (Human),Q9Y5F8
ANKIB1,ANKIB1,unreviewed,Homo sapiens (Human),H7C2V2
HS2ST1,HS2ST1,unreviewed,Homo sapiens (Human),K7EP71
MASP1,MASP1,unreviewed,Homo sapiens (Human),C9J1C7
EVI5L,EVI5L,unreviewed,Homo sapiens (Human),M0QYX4
Adra2a,Adra2a,reviewed,Rattus norvegicus (Rat),P22909
SHOC2;KIAA0862,SHOC2,reviewed,Homo sapiens (Human),Q9UQ13
ARMC8,ARMC8,unreviewed,Homo sapiens (Human),C9J2I1
ATP5ME;ATP5I;ATP5K,ATP5ME,reviewed,Homo sapiens (Human),P56385
ELP5;C17orf81;DERP6;HSPC002;MSTP071,ELP5,reviewed,Homo sapiens (Human),Q8TE02
Nfib;NF1-B,Nfib,unreviewed,Rattus norvegicus (Rat),O70186
TNNT3,TNNT3,unreviewed,Homo sapiens (Human),C9JZN9
MFSD8,MFSD8,unreviewed,Homo sapiens (Human),A0A286YF82
CBWD5,CBWD5,unreviewed,Homo sapiens (Human),E7EUZ7
SWAP70,SWAP70,unreviewed,Homo sapiens (Human),E7EMB1
JPT2,JPT2,unreviewed,Homo sapiens (Human),H3BTV5
IGLV5-39,IGLV5-39,reviewed,Homo sapiens (Human),A0A0G2JS06
ANK2,ANK2,unreviewed,Homo sapiens (Human),A0A5F9ZH35
PRR11,PRR11,reviewed,Homo sapiens (Human),Q96HE9
MYO5C,MYO5C,unreviewed,Homo sapiens (Human),H0YM93
Smarca1,Smarca1,unreviewed,Rattus norvegicus (Rat),D3ZIE5
P4ha2,P4ha2,unreviewed,Rattus norvegicus (Rat),A0A0G2JYL4
MCEMP1,MCEMP1,unreviewed,Homo sapiens (Human),M0R0S5
Cpq;Pgcp,Cpq,reviewed,Rattus norvegicus (Rat),Q6IRK9
NONO,NONO,unreviewed,Homo sapiens (Human),C9JJ13
MYBBP1A,MYBBP1A,unreviewed,Homo sapiens (Human),I3L311
CKS1B;hCG_1739274,CKS1B,unreviewed,Homo sapiens (Human),Q9BZU3
MFAP5,MFAP5,unreviewed,Homo sapiens (Human),H0YGS3
Sult1a1;St1a1,Sult1a1,reviewed,Rattus norvegicus (Rat),P17988
Ankh,Ankh,unreviewed,Rattus norvegicus (Rat),F1LN34
ERI3,ERI3,unreviewed,Homo sapiens (Human),A0A3B3ISV9
CD47,CD47,unreviewed,Homo sapiens (Human),H0YC40
PPL,PPL,unreviewed,Homo sapiens (Human),K7EKI8
MYL2,MYL2,unreviewed,Homo sapiens (Human),A0A590UJU8
TMX3,TMX3,unreviewed,Homo sapiens (Human),H3BT89
RAI14,RAI14,unreviewed,Homo sapiens (Human),D6RBW6
NT5DC3,NT5DC3,unreviewed,Homo sapiens (Human),H7C3S8
TRIM59,TRIM59,unreviewed,Homo sapiens (Human),C9JE08
ERAP1,ERAP1,unreviewed,Homo sapiens (Human),H0Y9X5
PYCR1,PYCR1,unreviewed,Homo sapiens (Human),J3QLK9
Ik,Ik,unreviewed,Rattus norvegicus (Rat),A0A0G2K5G9
MYO10,MYO10,unreviewed,Homo sapiens (Human),D6RGD1
PAX6,PAX6,unreviewed,Homo sapiens (Human),A0A1W2PRS6
FADS3,FADS3,unreviewed,Homo sapiens (Human),E9PQC2
NELFE,NELFE,unreviewed,Homo sapiens (Human),E9PD43
AC132539.2,AC132539.2,unreviewed,Rattus norvegicus (Rat),F1LYI5
AP3M2,AP3M2,unreviewed,Homo sapiens (Human),E5RJ52
HEXB,HEXB,unreviewed,Homo sapiens (Human),D6REQ8
ZC2HC1A,ZC2HC1A,unreviewed,Homo sapiens (Human),H0YAP0
C1qb,C1qb,reviewed,Rattus norvegicus (Rat),P31721
MYO5C,MYO5C,reviewed,Homo sapiens (Human),Q9NQX4
SSBP1;SSBP,SSBP1,reviewed,Homo sapiens (Human),Q04837
DLG1,DLG1,unreviewed,Homo sapiens (Human),A0A590UJE6
FZD2,FZD2,reviewed,Homo sapiens (Human),Q14332
ENO2,ENO2,unreviewed,Homo sapiens (Human),U3KQQ1
RSRC2,RSRC2,unreviewed,Homo sapiens (Human),E1B6W4
UBE2M;UBC12,UBE2M,reviewed,Homo sapiens (Human),P61081
RRP8,RRP8,unreviewed,Homo sapiens (Human),E9PPP6
IVD,IVD,unreviewed,Homo sapiens (Human),A0A0S2Z4K7
MSMO1;DESP4;ERG25;SC4MOL,MSMO1,reviewed,Homo sapiens (Human),Q15800
GIT1,GIT1,reviewed,Homo sapiens (Human),Q9Y2X7
IL1R1,IL1R1,unreviewed,Homo sapiens (Human),C9J3W8
SOD2,SOD2,reviewed,Homo sapiens (Human),P04179
SERPINC1,SERPINC1,unreviewed,Homo sapiens (Human),Q8TCE1
PKN1,PKN1,unreviewed,Homo sapiens (Human),K7EL10
TM7SF3,TM7SF3,reviewed,Homo sapiens (Human),Q9NS93
SERPINE2,SERPINE2,unreviewed,Homo sapiens (Human),C9JN98
FYB1,FYB1,unreviewed,Homo sapiens (Human),D6RER7
SEC23B,SEC23B,unreviewed,Homo sapiens (Human),Q5QPE2
SKAP2,SKAP2,unreviewed,Homo sapiens (Human),C9JQ17
ILF2,ILF2,unreviewed,Homo sapiens (Human),A0A0A0MRL0
Trappc2l,Trappc2l,reviewed,Rattus norvegicus (Rat),B2RYU6
MPDU1,MPDU1,unreviewed,Homo sapiens (Human),J3QS48
AKT1S1,AKT1S1,unreviewed,Homo sapiens (Human),M0R2V8
VPS37B,VPS37B,reviewed,Homo sapiens (Human),Q9H9H4
RIN1,RIN1,unreviewed,Homo sapiens (Human),E9PNR2
C1GALT1C1;COSMC;HSPC067;MSTP143;UNQ273/PRO310,C1GALT1C1,reviewed,Homo sapiens (Human),Q96EU7
CDC34,CDC34,unreviewed,Homo sapiens (Human),U3KQP9
MED15,MED15,unreviewed,Homo sapiens (Human),C9JGN2
SMPD4,SMPD4,unreviewed,Homo sapiens (Human),F2Z2I0
Ubp1,Ubp1,unreviewed,Rattus norvegicus (Rat),D4A030
ADI1;MTCBP1;HMFT1638,ADI1,reviewed,Homo sapiens (Human),Q9BV57
MRPL13,MRPL13,reviewed,Homo sapiens (Human),Q9BYD1
ACOT8,ACOT8,unreviewed,Homo sapiens (Human),E9PIS4
PRG4;MSF;SZP,PRG4,reviewed,Homo sapiens (Human),Q92954
RAB3IL1,RAB3IL1,reviewed,Homo sapiens (Human),Q8TBN0
CNPY3;CTG4A;ERDA5;PRAT4A;TNRC5;HSPC084;UNQ1934/PRO4409,CNPY3,reviewed,Homo sapiens (Human),Q9BT09
GATM,GATM,unreviewed,Homo sapiens (Human),H0YKW9
SLC3A2,SLC3A2,unreviewed,Homo sapiens (Human),H0YFX4
P4HA1;P4HA,P4HA1,reviewed,Homo sapiens (Human),P13674
Dok7;RGD1566416_predicted;rCG_35749,Dok7,unreviewed,Rattus norvegicus (Rat),D3ZDW9
SERPINB6,SERPINB6,unreviewed,Homo sapiens (Human),A0A2R8Y6A7
PBRM1;BAF180;PB1,PBRM1,reviewed,Homo sapiens (Human),Q86U86
RBPMS,RBPMS,unreviewed,Homo sapiens (Human),E5RJD7
HNRNPC,HNRNPC,unreviewed,Homo sapiens (Human),G3V555
MCU,MCU,unreviewed,Homo sapiens (Human),S4R319
GFER;ALR;HERV1;HPO,GFER,reviewed,Homo sapiens (Human),P55789
SARM1;KIAA0524;SAMD2;SARM,SARM1,reviewed,Homo sapiens (Human),Q6SZW1
CALCOCO1,CALCOCO1,unreviewed,Homo sapiens (Human),F8VZI3
C6orf47;G4,C6orf47,reviewed,Homo sapiens (Human),O95873
GRK6,GRK6,unreviewed,Homo sapiens (Human),D6R9V4
ZNF207,ZNF207,unreviewed,Homo sapiens (Human),J3KRW6
C9,C9,reviewed,Rattus norvegicus (Rat),Q62930
Slc31a1;Copt1;Ctr1,Slc31a1,reviewed,Rattus norvegicus (Rat),Q9JK41
CLTA,CLTA,reviewed,Homo sapiens (Human),P09496
SUN2,SUN2,unreviewed,Homo sapiens (Human),B0QY64
ANAPC4,ANAPC4,unreviewed,Homo sapiens (Human),D6RFM7
Rps16,Rps16,unreviewed,Rattus norvegicus (Rat),A0A1W2Q631
GDF5;BMP14;CDMP1,GDF5,reviewed,Homo sapiens (Human),P43026
Abca7,Abca7,reviewed,Rattus norvegicus (Rat),Q7TNJ2
NR3C1,NR3C1,unreviewed,Homo sapiens (Human),Q3MSN4
HNRNPUL1,HNRNPUL1,unreviewed,Homo sapiens (Human),M0R0K8
PYCR1,PYCR1,unreviewed,Homo sapiens (Human),J3QKT3
TP53I11,TP53I11,unreviewed,Homo sapiens (Human),U3KQ32
FAM177A1;C14orf24,FAM177A1,reviewed,Homo sapiens (Human),Q8N128
EXOSC9,EXOSC9,unreviewed,Homo sapiens (Human),H0Y9L5
MAPK3,MAPK3,unreviewed,Homo sapiens (Human),H0YEX6
Rbm14;rCG_48334,Rbm14,unreviewed,Rattus norvegicus (Rat),M0R9Q1
HERC1,HERC1,reviewed,Homo sapiens (Human),Q15751
TRO,TRO,unreviewed,Homo sapiens (Human),B1AKF6
PLSCR4,PLSCR4,unreviewed,Homo sapiens (Human),C9J6E1
RMC1,RMC1,unreviewed,Homo sapiens (Human),K7ENL9
MCCC1;MCCA,MCCC1,reviewed,Homo sapiens (Human),Q96RQ3
,,reviewed,Rattus norvegicus (Rat),D4A770
RETREG3,RETREG3,unreviewed,Homo sapiens (Human),K7EPD0
MAP7,MAP7,reviewed,Homo sapiens (Human),Q14244
WDFY1;FENS1;KIAA1435;WDF1;ZFYVE17,WDFY1,reviewed,Homo sapiens (Human),Q8IWB7
MPG;Z69720.1-004,MPG,unreviewed,Homo sapiens (Human),A2IDA3
RT1-A2;AA926063;B3galt4;Cdk2ap1-ps1;Col11a2;Daxx;Hsd17b8;Kifc1;LOC224733l-1;LOC224733l-2;Phf1;Rps25-ps1;RT1-A1;RT1-A2n;RT1-A3;RT1-DOa;RT1-Hb;RT1-Ke4;Rxrb;Sacm2l-ps1;Sacm2l-ps2;Sec61-ps;Syngap1,RT1-A2,unreviewed,Rattus norvegicus (Rat),Q6MGB8
Fez2,Fez2,unreviewed,Rattus norvegicus (Rat),Q498V3
RAB7A,RAB7A,unreviewed,Homo sapiens (Human),C9J7D1
PRMT5,PRMT5,unreviewed,Homo sapiens (Human),G3V5T6
RAB30,RAB30,unreviewed,Homo sapiens (Human),E9PRX0
EIF4EBP1,EIF4EBP1,reviewed,Homo sapiens (Human),Q13541
MCCC2;MCCB,MCCC2,reviewed,Homo sapiens (Human),Q9HCC0
ANXA8,ANXA8,unreviewed,Homo sapiens (Human),A0A087WTN9
NFIX,NFIX,unreviewed,Homo sapiens (Human),K7ESG9
ACSL1;FACL1;FACL2;LACS;LACS1;LACS2,ACSL1,reviewed,Homo sapiens (Human),P33121
FLII,FLII,unreviewed,Homo sapiens (Human),K7EP27
Smap2,Smap2,unreviewed,Rattus norvegicus (Rat),B1WBX6
TSC22D1,TSC22D1,unreviewed,Homo sapiens (Human),C9IZ15
PICALM,PICALM,unreviewed,Homo sapiens (Human),H0YD48
COPZ2,COPZ2,unreviewed,Homo sapiens (Human),J3QLS7
IGHV3-43,IGHV3-43,reviewed,Homo sapiens (Human),A0A0B4J1X8
RPL23A;hCG_1988529,RPL23A,unreviewed,Homo sapiens (Human),A8MUS3
Nrbp2;rCG_60152,Nrbp2,unreviewed,Rattus norvegicus (Rat),A0A0G2JT23
ANK2,ANK2,unreviewed,Homo sapiens (Human),A0A5F9ZI15
Pds5b,Pds5b,unreviewed,Rattus norvegicus (Rat),D3ZXE2
PRKACA,PRKACA,unreviewed,Homo sapiens (Human),K7ERP6
SYNE1,SYNE1,unreviewed,Homo sapiens (Human),H0Y326
CELF2,CELF2,unreviewed,Homo sapiens (Human),V9GY47
CSNK2A2,CSNK2A2,unreviewed,Homo sapiens (Human),H3BNI9
CCDC9,CCDC9,unreviewed,Homo sapiens (Human),M0R2W0
LPIN2;KIAA0249,LPIN2,reviewed,Homo sapiens (Human),Q92539
RGD1563812;AABR07021871.1;rCG_63270,RGD1563812,unreviewed,Rattus norvegicus (Rat),M0R5M7
DEFA3;DEF3,DEFA3,reviewed,Homo sapiens (Human),P59666
Mrpl28;LOC497876;rCG_32790,Mrpl28,unreviewed,Rattus norvegicus (Rat),D3ZJY1
VPS28,VPS28,unreviewed,Homo sapiens (Human),E9PR04
LDHA,LDHA,unreviewed,Homo sapiens (Human),F5GYU2
SGCE,SGCE,unreviewed,Homo sapiens (Human),A0A2R8YFA5
Krtap11-1;LOC100359886,Krtap11-1,unreviewed,Rattus norvegicus (Rat),D3ZX50
PPOX,PPOX,unreviewed,Homo sapiens (Human),A0A494C134
PPFIBP2,PPFIBP2,unreviewed,Homo sapiens (Human),H0YDJ2
ACOX3,ACOX3,unreviewed,Homo sapiens (Human),D6RJ89
Acadm;rCG_28992,Acadm,unreviewed,Rattus norvegicus (Rat),G3V796
CAMK2D;hCG_22679,CAMK2D,unreviewed,Homo sapiens (Human),D6R938
ZC3H14,ZC3H14,unreviewed,Homo sapiens (Human),G3V3Y4
MFSD8,MFSD8,unreviewed,Homo sapiens (Human),A0A286YEW7
GAK,GAK,unreviewed,Homo sapiens (Human),D6RC24
IAH1,IAH1,unreviewed,Homo sapiens (Human),C9J5J2
Cyrib;Fam49b;RGD1307697_predicted;rCG_59591,Cyrib,unreviewed,Rattus norvegicus (Rat),B2GUZ9
NUDCD2,NUDCD2,reviewed,Homo sapiens (Human),Q8WVJ2
CTSC,CTSC,unreviewed,Homo sapiens (Human),H0YCY8
MZT2B,MZT2B,unreviewed,Homo sapiens (Human),H7C173
TMEM214;PP446,TMEM214,reviewed,Homo sapiens (Human),Q6NUQ4
FMR1,FMR1,unreviewed,Homo sapiens (Human),R9WNI0
HECTD3,HECTD3,reviewed,Homo sapiens (Human),Q5T447
AGAP1;CENTG2;KIAA1099,AGAP1,reviewed,Homo sapiens (Human),Q9UPQ3
COMTD1;UNQ766/PRO1558,COMTD1,reviewed,Homo sapiens (Human),Q86VU5
APOM,APOM,unreviewed,Homo sapiens (Human),Q5SRP5
IGLV9-49,IGLV9-49,reviewed,Homo sapiens (Human),A0A0B4J1Y8
HNRNPC,HNRNPC,unreviewed,Homo sapiens (Human),G3V5V7
MED17,MED17,unreviewed,Homo sapiens (Human),A0A1W2PS69
FTH1,FTH1,unreviewed,Homo sapiens (Human),E9PQR3
MLST8,MLST8,unreviewed,Homo sapiens (Human),I3L2E7
MRPS33;CGI-139;PTD003,MRPS33,reviewed,Homo sapiens (Human),Q9Y291
HP1BP3,HP1BP3,reviewed,Homo sapiens (Human),Q5SSJ5
FAM107B,FAM107B,unreviewed,Homo sapiens (Human),X6RET8
BCL2L13,BCL2L13,unreviewed,Homo sapiens (Human),A0A087WW80
BAIAP2,BAIAP2,unreviewed,Homo sapiens (Human),I3L0M4
STAM;STAM1,STAM,reviewed,Homo sapiens (Human),Q92783
KYNU,KYNU,unreviewed,Homo sapiens (Human),B8ZZA3
SF3B3,SF3B3,unreviewed,Homo sapiens (Human),J3QL37
PHF1,PHF1,unreviewed,Homo sapiens (Human),A2AB23
DAG1,DAG1,unreviewed,Homo sapiens (Human),C9JQL4
SURF1,SURF1,unreviewed,Homo sapiens (Human),A0A087WYS9
Hint1;Hint;Pkci1,Hint1,reviewed,Rattus norvegicus (Rat),P62959
TMEM106A,TMEM106A,reviewed,Homo sapiens (Human),Q96A25
Eif1;Gm5471;rCG_33041,Eif1,unreviewed,Rattus norvegicus (Rat),B0K008
TBCE,TBCE,unreviewed,Homo sapiens (Human),A0A2R8Y4V6
NECAP2,NECAP2,reviewed,Homo sapiens (Human),Q9NVZ3
PPP6R3,PPP6R3,unreviewed,Homo sapiens (Human),H0YEV0
PDE8A,PDE8A,reviewed,Homo sapiens (Human),O60658
SMARCB1,SMARCB1,unreviewed,Homo sapiens (Human),A0A0G2JRV3
PREPL,PREPL,unreviewed,Homo sapiens (Human),H7C0M0
LACTB,LACTB,unreviewed,Homo sapiens (Human),H0YNN5
Impdh1,Impdh1,reviewed,Rattus norvegicus (Rat),D3ZLZ7
Prkar2a,Prkar2a,reviewed,Rattus norvegicus (Rat),P12368
Hspa1b;Hsp70-2;Hspa2,Hspa1b,reviewed,Rattus norvegicus (Rat),P0DMW1
SAMD9L,SAMD9L,unreviewed,Homo sapiens (Human),A0A0B4J1Y6
CRYZ,CRYZ,reviewed,Homo sapiens (Human),Q08257
ANO10,ANO10,unreviewed,Homo sapiens (Human),C9JJS5
RGD1564347,RGD1564347,unreviewed,Rattus norvegicus (Rat),M0RBU2
EFEMP2,EFEMP2,unreviewed,Homo sapiens (Human),E9PI47
LARS1;KIAA1352;LARS,LARS1,reviewed,Homo sapiens (Human),Q9P2J5
ZNF7,ZNF7,unreviewed,Homo sapiens (Human),E9PPK0
TATDN1;CDA11,TATDN1,reviewed,Homo sapiens (Human),Q6P1N9
STXBP1,STXBP1,unreviewed,Homo sapiens (Human),A0A0D9SG72
TBXAS1;CYP5;CYP5A1;TXAS,TBXAS1,reviewed,Homo sapiens (Human),P24557
STK4;KRS2;MST1,STK4,reviewed,Homo sapiens (Human),Q13043
MAD1L1;MAD1;TXBP181,MAD1L1,reviewed,Homo sapiens (Human),Q9Y6D9
PCSK6;PACE4,PCSK6,reviewed,Homo sapiens (Human),P29122
NRBF2;COPR,NRBF2,reviewed,Homo sapiens (Human),Q96F24
TUSC3,TUSC3,unreviewed,Homo sapiens (Human),D6RDV0
CPEB2,CPEB2,unreviewed,Homo sapiens (Human),A0A5K1VW71
Taf6,Taf6,unreviewed,Rattus norvegicus (Rat),Q498R0
SYNGR1,SYNGR1,unreviewed,Homo sapiens (Human),B5MCD7
UAP1;SPAG2,UAP1,reviewed,Homo sapiens (Human),Q16222
APOA2,APOA2,unreviewed,Homo sapiens (Human),V9GYG9
IRF3,IRF3,unreviewed,Homo sapiens (Human),M0QXC8
Map4,Map4,unreviewed,Rattus norvegicus (Rat),A0A0G2JW88
EIF2S1,EIF2S1,unreviewed,Homo sapiens (Human),G3V4T5
Ndufa10,Ndufa10,reviewed,Rattus norvegicus (Rat),Q561S0
,,unreviewed,Homo sapiens (Human),L7N2F9
GAS6;AXLLG,GAS6,reviewed,Homo sapiens (Human),Q14393
ARRB1;ARR1,ARRB1,reviewed,Homo sapiens (Human),P49407
