Gene names,Gene names  (primary ),Status,Organism,Protein ID,Gene Names,Gene Names (primary),Reviewed
,,,Rattus norvegicus (Rat),M0R5T4,Rac3,Rac3,unreviewed
,,,Rattus norvegicus (Rat),B5DEN5,Eef1b2;rCG_22471,Eef1b2,unreviewed
,,,Rattus norvegicus (Rat),A0A0G2K6M9,Btk,Btk,unreviewed
,,,Rattus norvegicus (Rat),Q920E0,F2rl3;Par4,F2rl3,reviewed
,,,Rattus norvegicus (Rat),A0A0G2JT68,Uaca,Uaca,unreviewed
,,,Rattus norvegicus (Rat),Q66H70,Il33,Il33,reviewed
,,,Rattus norvegicus (Rat),Q68FU7,Coq6,Coq6,reviewed
,,,Rattus norvegicus (Rat),D3ZJ29,Zfp512b,Zfp512b,unreviewed
,,,Rattus norvegicus (Rat),F1LWX5,Phf2;Phf2_predicted;rCG_44225,Phf2,unreviewed
,,,Rattus norvegicus (Rat),P84889,Vangl2,Vangl2,reviewed
,,,Rattus norvegicus (Rat),F1M779,Cltc,Cltc,unreviewed
,,,Rattus norvegicus (Rat),E9PTK4,Thnsl1,Thnsl1,unreviewed
,,,Rattus norvegicus (Rat),M0RB37,Srsf8,Srsf8,unreviewed
,,,Rattus norvegicus (Rat),Q5M9I5,Uqcrh,Uqcrh,reviewed
,,,Rattus norvegicus (Rat),F1M9R4,Abi3bp,Abi3bp,unreviewed
,,,Rattus norvegicus (Rat),F7EYQ2,Fez2,Fez2,unreviewed
,,,Rattus norvegicus (Rat),A0A0G2K896,RGD1310507,RGD1310507,unreviewed
,,,Rattus norvegicus (Rat),F1M392,Limch1,Limch1,unreviewed
,,,Rattus norvegicus (Rat),D3ZBS9,Smarcd1,Smarcd1,unreviewed
,,,Rattus norvegicus (Rat),P52944,Pdlim1;Clim1;Clp36,Pdlim1,reviewed
,,,Rattus norvegicus (Rat),Q5M7W5,Map4,Map4,reviewed
,,,Rattus norvegicus (Rat),Q568Y6,Dmap1;rCG_50328,Dmap1,unreviewed
,,,Rattus norvegicus (Rat),A0A0G2JV28,Mea1,Mea1,unreviewed
,,,Rattus norvegicus (Rat),D3ZFJ0,Pik3cg,Pik3cg,unreviewed
,,,Rattus norvegicus (Rat),G3V8L7,Itgam;Itgad,Itgam,unreviewed
,,,Rattus norvegicus (Rat),Q8K3E7,Dpy30;Aip1,Dpy30,reviewed
,,,Rattus norvegicus (Rat),D3ZKG5,Parvb,Parvb,unreviewed
,,,Rattus norvegicus (Rat),A0A0H2UHM5,Pdia3,Pdia3,unreviewed
,,,Rattus norvegicus (Rat),P62839,Ube2d2;Ubc4;Ubch4;Ubch5b,Ube2d2,reviewed
,,,Rattus norvegicus (Rat),Q66H63,Gdap2,Gdap2,reviewed
,,,Rattus norvegicus (Rat),A0A0G2K261,Iars2,Iars2,unreviewed
,,,Rattus norvegicus (Rat),A0A0H2UHY9,Tnnt3,Tnnt3,unreviewed
,,,Rattus norvegicus (Rat),P97538,Mras;Rras3,Mras,reviewed
,,,Rattus norvegicus (Rat),F1M7F5,Mmp16;rCG_55100,Mmp16,unreviewed
,,,Rattus norvegicus (Rat),D4A6W5,Ndnf,Ndnf,unreviewed
,,,Rattus norvegicus (Rat),D4A244,Frs2;Frs2_predicted;rCG_48891,Frs2,unreviewed
,,,Rattus norvegicus (Rat),M0R515,Nudt13,Nudt13,unreviewed
,,,Rattus norvegicus (Rat),P38438,Tgfbr2,Tgfbr2,reviewed
,,,Rattus norvegicus (Rat),B5DEH4,Uap1l1,Uap1l1,unreviewed
,,,Rattus norvegicus (Rat),F1LP76,Elp1;Ikbkap;rCG_31928,Elp1,unreviewed
,,,Rattus norvegicus (Rat),Q4FZU6,Anxa8,Anxa8,reviewed
,,,Rattus norvegicus (Rat),A0A0G2K5N5,AABR07060694.1,AABR07060694.1,unreviewed
,,,Rattus norvegicus (Rat),P07632,Sod1,Sod1,reviewed
,,,Rattus norvegicus (Rat),Q6AY25,Tmed3,Tmed3,reviewed
,,,Rattus norvegicus (Rat),F1M836,Mark3,Mark3,unreviewed
,,,Rattus norvegicus (Rat),D4AE17,Map3k20;Zak,Map3k20,unreviewed
,,,Rattus norvegicus (Rat),Q80W98,Sgtb;Sgt2,Sgtb,reviewed
,,,Rattus norvegicus (Rat),A0A1B0GWY3,Tomm5,Tomm5,unreviewed
,,,Rattus norvegicus (Rat),D3ZEN2,,,unreviewed
,,,Rattus norvegicus (Rat),A0A0G2K0M8,Ncam1,Ncam1,unreviewed
,,,Rattus norvegicus (Rat),G3V843,F2;rCG_27251,F2,unreviewed
,,,Rattus norvegicus (Rat),Q3KR94,Vtn;rCG_34659,Vtn,unreviewed
,,,Rattus norvegicus (Rat),D3ZMU3,Pds5b,Pds5b,unreviewed
,,,Rattus norvegicus (Rat),A0A0G2K911,Nsfl1c,Nsfl1c,unreviewed
,,,Rattus norvegicus (Rat),Q4FZU2,Krt6a,Krt6a,reviewed
,,,Rattus norvegicus (Rat),G3V7N5,Cpt2;rCG_50273,Cpt2,unreviewed
,,,Rattus norvegicus (Rat),P05942,S100a4,S100a4,reviewed
,,,Rattus norvegicus (Rat),Q9WVK7,Hadh;Had;Hadhsc;Schad,Hadh,reviewed
,,,Rattus norvegicus (Rat),Q62736,Cald1,Cald1,reviewed
,,,Rattus norvegicus (Rat),G3V7I5,Aldh1b1;rCG_55098,Aldh1b1,unreviewed
,,,Rattus norvegicus (Rat),Q68FU3,Etfb,Etfb,reviewed
,,,Rattus norvegicus (Rat),Q5XFW8,Sec13;Sec13l1,Sec13,reviewed
,,,Rattus norvegicus (Rat),B1PLB1,Cd34;Cd34_predicted;LOC100911324;rCG_20068,Cd34,unreviewed
,,,Rattus norvegicus (Rat),A0A0G2JUD2,Sar1a;Ppa1,Sar1a,unreviewed
,,,Rattus norvegicus (Rat),A0A140TA95,Mprip,Mprip,unreviewed
,,,Rattus norvegicus (Rat),A0A0G2K654,H1f2;rCG_45246,H1f2,unreviewed
,,,Rattus norvegicus (Rat),F1MA18,Ybx3,Ybx3,unreviewed
,,,Rattus norvegicus (Rat),A0A0G2JWU1,AC094212.1,AC094212.1,unreviewed
,,,Rattus norvegicus (Rat),F1M8Y4,Deptor;rCG_59709,Deptor,unreviewed
,,,Rattus norvegicus (Rat),D3ZXI2,AABR07041089.1,AABR07041089.1,unreviewed
,,,Rattus norvegicus (Rat),A0A096MKC6,,,unreviewed
,,,Rattus norvegicus (Rat),Q08326,Rabif;Mss4,Rabif,reviewed
,,,Rattus norvegicus (Rat),Q62930,C9,C9,reviewed
,,,Rattus norvegicus (Rat),Q6AXQ9,Ift46,Ift46,reviewed
,,,Rattus norvegicus (Rat),F1M1R0,,,unreviewed
,,,Rattus norvegicus (Rat),G3V959,Trafd1;Fln29;rCG_21541,Trafd1,unreviewed
,,,Rattus norvegicus (Rat),D4A263,Plekhb2,Plekhb2,unreviewed
,,,Rattus norvegicus (Rat),Q66HA8,Hsph1;Hsp105;Hsp110,Hsph1,reviewed
,,,Rattus norvegicus (Rat),Q2TGJ1,Zdhhc18,Zdhhc18,reviewed
,,,Rattus norvegicus (Rat),D3ZJ84,Tssk5;RGD1308613;rCG_60111,Tssk5,unreviewed
,,,Rattus norvegicus (Rat),A0A0H2UI36,AABR07060872.1,AABR07060872.1,unreviewed
,,,Rattus norvegicus (Rat),Q75WE7,Vwa5a;Loh11cr2a;Masa1,Vwa5a,reviewed
,,,Rattus norvegicus (Rat),A0A0G2JZM8,Clasp2,Clasp2,unreviewed
,,,Rattus norvegicus (Rat),D4ADV8,Dvl3,Dvl3,unreviewed
,,,Rattus norvegicus (Rat),M0R7W8,Traf5,Traf5,unreviewed
,,,Rattus norvegicus (Rat),A0A0G2JZS9,AABR07034736.1,AABR07034736.1,unreviewed
,,,Rattus norvegicus (Rat),Q5I0M3,Cfhr1;Cfhl1,Cfhr1,unreviewed
,,,Rattus norvegicus (Rat),A0A096MJW1,Fkbp10,Fkbp10,unreviewed
,,,Rattus norvegicus (Rat),F1LM55,Ccar2;RGD1309922,Ccar2,unreviewed
,,,Rattus norvegicus (Rat),A0A0G2JVQ2,Ldb1,Ldb1,unreviewed
,,,Rattus norvegicus (Rat),D3ZVS6,Kbtbd2;Kbtbd2_predicted;rCG_52288,Kbtbd2,unreviewed
,,,Rattus norvegicus (Rat),F1LMA9,Znfx1,Znfx1,unreviewed
,,,Rattus norvegicus (Rat),D4AEP3,Fam168b,Fam168b,reviewed
,,,Rattus norvegicus (Rat),P61265,Stx1b;Stx1b2,Stx1b,reviewed
,,,Rattus norvegicus (Rat),Q4AEF8,Copg1;Copg,Copg1,reviewed
,,,Rattus norvegicus (Rat),Q4V8J7,Spin1;Spin,Spin1,reviewed
,,,Rattus norvegicus (Rat),F1M9X5,Prkar1b,Prkar1b,unreviewed
,,,Rattus norvegicus (Rat),D4A1G1,Acyp2;rCG_23240,Acyp2,unreviewed
,,,Rattus norvegicus (Rat),G3V781,Mre11a;Mre11,Mre11a,unreviewed
,,,Rattus norvegicus (Rat),P16975,Sparc,Sparc,reviewed
,,,Rattus norvegicus (Rat),P42930,Hspb1;Hsp27,Hspb1,reviewed
,,,Rattus norvegicus (Rat),M0R544,Gaa;rCG_33228,Gaa,unreviewed
,,,Rattus norvegicus (Rat),D4A7W8,LOC102553715;Mfap4,LOC102553715,unreviewed
,,,Rattus norvegicus (Rat),D3Z822,Atr,Atr,unreviewed
,,,Rattus norvegicus (Rat),F1LXQ7,Arhgap21,Arhgap21,unreviewed
,,,Rattus norvegicus (Rat),Q6AXQ0,Sae1;Uble1a,Sae1,reviewed
,,,Rattus norvegicus (Rat),G3V9R9,Afm;rCG_60492,Afm,unreviewed
,,,Rattus norvegicus (Rat),F1LWA1,Adamtsl1,Adamtsl1,unreviewed
,,,Rattus norvegicus (Rat),P97829,Cd47,Cd47,reviewed
,,,Rattus norvegicus (Rat),Q5XI51,Kif2b,Kif2b,reviewed
,,,Rattus norvegicus (Rat),Q496Z3,Ipo13;rCG_50271,Ipo13,unreviewed
,,,Rattus norvegicus (Rat),P34131,Ntf4;Nt4;Ntf5,Ntf4,reviewed
,,,Rattus norvegicus (Rat),F1LNH0,Sema3g,Sema3g,unreviewed
,,,Rattus norvegicus (Rat),Q66H58,Ints14;Vwa9,Ints14,reviewed
,,,Rattus norvegicus (Rat),D3ZG00,Med30;Thrap6_predicted;rCG_59432,Med30,unreviewed
,,,Rattus norvegicus (Rat),P08649,C4;C4a,C4,reviewed
,,,Rattus norvegicus (Rat),B5DFF4,Vps37c;LOC100910929;NEWGENE_1309258;Vps37c_predicted;rCG_48524,Vps37c,unreviewed
,,,Rattus norvegicus (Rat),A0A0G2KAE1,Lims2,Lims2,unreviewed
,,,Rattus norvegicus (Rat),D3ZZM0,Slc39a14;Slc39a14_predicted;rCG_37186,Slc39a14,unreviewed
,,,Rattus norvegicus (Rat),D3ZE55,Pcdh8,Pcdh8,reviewed
,,,Rattus norvegicus (Rat),P35427,Rpl13a,Rpl13a,reviewed
,,,Rattus norvegicus (Rat),Q71UE8,Nedd8,Nedd8,reviewed
,,,Rattus norvegicus (Rat),F1LNS2,Dennd10,Dennd10,unreviewed
,,,Rattus norvegicus (Rat),M0R3V7,Slc8a1;rCG_62087,Slc8a1,unreviewed
,,,Rattus norvegicus (Rat),A0A0G2K1A2,Mpo,Mpo,unreviewed
,,,Rattus norvegicus (Rat),A0A0G2JUP5,Mug1;LOC297568,Mug1,unreviewed
,,,Rattus norvegicus (Rat),Q99NA5,Idh3a,Idh3a,reviewed
,,,Rattus norvegicus (Rat),A0A0G2JVV5,Usp14,Usp14,unreviewed
,,,Rattus norvegicus (Rat),G3V7S2,Nefm;Nef3;rCG_52093,Nefm,unreviewed
,,,Rattus norvegicus (Rat),A0A096MJ99,Vamp4,Vamp4,unreviewed
,,,Rattus norvegicus (Rat),R4GNK3,Txn1,Txn1,unreviewed
,,,Rattus norvegicus (Rat),Q5M891,C4bpa,C4bpa,unreviewed
,,,Rattus norvegicus (Rat),Q8K5B3,Mcfd2;Sdnsf,Mcfd2,reviewed
,,,Rattus norvegicus (Rat),F7F5B5,LOC103690020;Cd36,LOC103690020,unreviewed
,,,Rattus norvegicus (Rat),P30349,Lta4h,Lta4h,reviewed
,,,Rattus norvegicus (Rat),A0A0G2K9J3,Gtpbp2,Gtpbp2,unreviewed
,,,Rattus norvegicus (Rat),D3ZPA7,Scara3;Scara3_predicted;rCG_52193,Scara3,unreviewed
,,,Rattus norvegicus (Rat),G3V9Y2,Plpp1;Ppap2a;rCG_44744,Plpp1,unreviewed
,,,Rattus norvegicus (Rat),Q561R0,Mzb1;Pacap,Mzb1,reviewed
,,,Rattus norvegicus (Rat),A0A1W2Q6E9,Msn,Msn,unreviewed
,,,Rattus norvegicus (Rat),Q63321,Plod1;Plod,Plod1,reviewed
,,,Rattus norvegicus (Rat),M0RA19,Eng,Eng,unreviewed
,,,Rattus norvegicus (Rat),A0A0G2K9N3,Ddx3,Ddx3,unreviewed
,,,Rattus norvegicus (Rat),Q80XX4,Mustn1,Mustn1,reviewed
,,,Rattus norvegicus (Rat),Q5XIJ0,Ms4a6bl;LOC100912573;Ms4a6b;Ms4a6e;rCG_47506,Ms4a6bl,unreviewed
,,,Rattus norvegicus (Rat),Q9R010,Cib1;Cib;Kip;Prkdcip,Cib1,reviewed
,,,Rattus norvegicus (Rat),M0R4S3,Tmprss11a,Tmprss11a,unreviewed
,,,Rattus norvegicus (Rat),Q8CGX0,Igf2bp1;Imp1;Vickz1,Igf2bp1,reviewed
,,,Rattus norvegicus (Rat),G3V7X9,Atf7,Atf7,unreviewed
,,,Rattus norvegicus (Rat),Q5U362,Anxa4;rCG_56369,Anxa4,unreviewed
,,,Rattus norvegicus (Rat),D4A7Y1,Acan,Acan,unreviewed
,,,Rattus norvegicus (Rat),Q5RJS2,Rhoj,Rhoj,unreviewed
,,,Rattus norvegicus (Rat),Q5BK83,Tmem106a,Tmem106a,reviewed
,,,Rattus norvegicus (Rat),Q56A19,Clcn4;Clcn4-2;rCG_49733,Clcn4,unreviewed
,,,Rattus norvegicus (Rat),A0A0G2JW88,Map4,Map4,unreviewed
,,,Rattus norvegicus (Rat),Q561S0,Ndufa10,Ndufa10,reviewed
,,,Rattus norvegicus (Rat),Q8VHZ4,Pnma1;Ma1,Pnma1,reviewed
,,,Rattus norvegicus (Rat),P46844,Blvra;Blvr,Blvra,reviewed
,,,Rattus norvegicus (Rat),B0K010,Txndc17;Txnl5_predicted;rCG_32915,Txndc17,unreviewed
,,,Rattus norvegicus (Rat),G3V6C1,Serpinb5;rCG_24055,Serpinb5,unreviewed
,,,Rattus norvegicus (Rat),Q3KRC5,Dus3l,Dus3l,reviewed
,,,Rattus norvegicus (Rat),A0A0G2K962,Alas1,Alas1,unreviewed
,,,Rattus norvegicus (Rat),E9PT83,Cenpf,Cenpf,unreviewed
,,,Rattus norvegicus (Rat),Q6P798,Rcbtb2;Chc1l,Rcbtb2,reviewed
,,,Rattus norvegicus (Rat),Q9JHY1,F11r;Jam1,F11r,reviewed
,,,Rattus norvegicus (Rat),Q5FVC4,Dnajb12;LOC294513;rCG_22093,Dnajb12,unreviewed
,,,Rattus norvegicus (Rat),D3ZBQ1,Foxo3;Foxo3a_predicted;rCG_58542,Foxo3,unreviewed
,,,Rattus norvegicus (Rat),Q01129,Dcn,Dcn,reviewed
,,,Rattus norvegicus (Rat),F1LNI8,Camk2b,Camk2b,unreviewed
,,,Rattus norvegicus (Rat),M0RDK9,Acad8,Acad8,unreviewed
,,,Rattus norvegicus (Rat),G3V811,F13a1;rCG_44203,F13a1,unreviewed
,,,Rattus norvegicus (Rat),Q9Z1H9,Cavin3;Dig2;Prkcdbp;Srbc,Cavin3,reviewed
,,,Rattus norvegicus (Rat),D4A9A3,Cenpv,Cenpv,unreviewed
,,,Rattus norvegicus (Rat),M0RAY0,Dus3l;rCG_45018,Dus3l,unreviewed
,,,Rattus norvegicus (Rat),B0BNG3,Lman2;rCG_24303,Lman2,unreviewed
,,,Rattus norvegicus (Rat),D3ZUL5,Myct1;Myct1_predicted;rCG_41111,Myct1,unreviewed
,,,Rattus norvegicus (Rat),Q5RKL5,Steap3,Steap3,reviewed
,,,Rattus norvegicus (Rat),P11762,Lgals1,Lgals1,reviewed
,,,Rattus norvegicus (Rat),B1H293,Mfsd14a;Hiat1;Hiat1_predicted;Hiatl3;NEWGENE_1305281;rCG_28876,Mfsd14a,unreviewed
,,,Rattus norvegicus (Rat),F1M978,Impa1,Impa1,unreviewed
,,,Rattus norvegicus (Rat),Q6PDW4,Psmb1;rCG_22979,Psmb1,unreviewed
,,,Rattus norvegicus (Rat),F7DLY1,Eps8l2,Eps8l2,unreviewed
,,,Rattus norvegicus (Rat),P36370,Tap1;Abcb2;Mtp1,Tap1,reviewed
,,,Rattus norvegicus (Rat),Q5FVR4,Eri1;Thex1,Eri1,reviewed
,,,Rattus norvegicus (Rat),D3ZK47,Nsd3;Whsc1l1;Whsc1l1_predicted;rCG_43389,Nsd3,unreviewed
,,,Rattus norvegicus (Rat),Q66HF3,Etfdh;ETFDH;rCG_62537,Etfdh,unreviewed
,,,Rattus norvegicus (Rat),Q6IN22,Ctsb;rCG_52258,Ctsb,unreviewed
,,,Rattus norvegicus (Rat),Q2THW6,Zdhhc8;LOC100364821,Zdhhc8,unreviewed
,,,Rattus norvegicus (Rat),P09739,Tnnt3,Tnnt3,reviewed
,,,Rattus norvegicus (Rat),Q6MG87,Pbx2;Ager;Btnl6;Cyp21a1-ps;Ng5;Rnf5;Stk19-ps;Tnx,Pbx2,unreviewed
,,,Rattus norvegicus (Rat),A4GW50,Stk38l;rCG_29601,Stk38l,unreviewed
,,,Rattus norvegicus (Rat),A0A0G2K1A9,Nol11,Nol11,unreviewed
,,,Rattus norvegicus (Rat),Q642A4,,,reviewed
,,,Rattus norvegicus (Rat),O35952,Hagh;Rsp29,Hagh,reviewed
,,,Rattus norvegicus (Rat),A0A0G2JSH7,Glra2;rCG_49701,Glra2,unreviewed
,,,Rattus norvegicus (Rat),Q99PV3,Mkln1;Msk,Mkln1,reviewed
,,,Rattus norvegicus (Rat),Q6PED1,Ccl5;rCG_35282,Ccl5,unreviewed
,,,Rattus norvegicus (Rat),P00762,Prss1;Trp1;Try1;Tryp1,Prss1,reviewed
,,,Rattus norvegicus (Rat),Q68FT9,Scly,Scly,reviewed
,,,Rattus norvegicus (Rat),Q8VIF7,Selenbp1;Sbp,Selenbp1,reviewed
,,,Rattus norvegicus (Rat),D4A269,Hint1,Hint1,unreviewed
,,,Rattus norvegicus (Rat),Q62951,Dpysl4;Crmp3;Ulip4,Dpysl4,reviewed
,,,Rattus norvegicus (Rat),P14408,Fh;Fh1,Fh,reviewed
,,,Rattus norvegicus (Rat),Q68G33,Gorasp2;rCG_26651,Gorasp2,unreviewed
,,,Rattus norvegicus (Rat),P46101,Dpp6,Dpp6,reviewed
,,,Rattus norvegicus (Rat),A0A0G2K9F9,Coro7,Coro7,unreviewed
,,,Rattus norvegicus (Rat),P61751,Arf4,Arf4,reviewed
,,,Rattus norvegicus (Rat),D4ABM3,Daam1;Daam1_predicted;rCG_61929,Daam1,unreviewed
,,,Rattus norvegicus (Rat),Q5FWT9,Sike1;Sike,Sike1,reviewed
,,,Rattus norvegicus (Rat),Q5PQM7,Lims2,Lims2,unreviewed
,,,Rattus norvegicus (Rat),A0A0G2K5A4,AABR07059632.3,AABR07059632.3,unreviewed
,,,Rattus norvegicus (Rat),Q01827,Slc18a2;Svat;Vmat2,Slc18a2,reviewed
,,,Rattus norvegicus (Rat),B5DFM8,Bcas2;Bcas2_predicted;rCG_51877,Bcas2,unreviewed
,,,Rattus norvegicus (Rat),Q6P6G7,Rsl24d1,Rsl24d1,reviewed
,,,Rattus norvegicus (Rat),D3ZJD8,Clec1b;RGD1563517_predicted;rCG_30037,Clec1b,unreviewed
,,,Rattus norvegicus (Rat),D4A6X1,Dysf;Dysf_predicted;rCG_56240,Dysf,unreviewed
,,,Rattus norvegicus (Rat),Q4V8B4,Chaf1b;rCG_53062,Chaf1b,unreviewed
,,,Rattus norvegicus (Rat),D3ZCS4,Iqgap3,Iqgap3,unreviewed
,,,Rattus norvegicus (Rat),F7EY92,Mbd3,Mbd3,unreviewed
,,,Rattus norvegicus (Rat),B5DFD8,Sh3bgrl;Sh3bgrl_predicted;rCG_38007,Sh3bgrl,unreviewed
,,,Rattus norvegicus (Rat),A0A0G2K9Z5,AABR07060971.1,AABR07060971.1,unreviewed
,,,Rattus norvegicus (Rat),P19945,Rplp0;Arbp,Rplp0,reviewed
,,,Rattus norvegicus (Rat),P05964,S100a6;Cacy,S100a6,reviewed
,,,Rattus norvegicus (Rat),G3V8H4,Cblc;Cbl-3,Cblc,reviewed
,,,Rattus norvegicus (Rat),Q3KRF2,Hdlbp;rCG_55574,Hdlbp,unreviewed
,,,Rattus norvegicus (Rat),F7FLB2,Pgm2,Pgm2,unreviewed
,,,Rattus norvegicus (Rat),B2GUZ5,Capza1,Capza1,reviewed
,,,Rattus norvegicus (Rat),P05065,Aldoa,Aldoa,reviewed
,,,Rattus norvegicus (Rat),D3ZGE2,Mpo,Mpo,unreviewed
,,,Rattus norvegicus (Rat),Q499S4,Mx1;rCG_52734,Mx1,unreviewed
,,,Rattus norvegicus (Rat),M0R971,Rnf130,Rnf130,unreviewed
,,,Rattus norvegicus (Rat),A0A0G2JYK0,LOC299282,LOC299282,unreviewed
,,,Rattus norvegicus (Rat),Q9R0L4,Cand2;Tip120b,Cand2,reviewed
,,,Rattus norvegicus (Rat),D4A3V0,Eva1a;RGD1559797_predicted;rCG_56241,Eva1a,unreviewed
,,,Rattus norvegicus (Rat),Q7TP84,Plg,Plg,unreviewed
,,,Rattus norvegicus (Rat),B1WC40,Ncbp2;Cbp20,Ncbp2,reviewed
,,,Rattus norvegicus (Rat),A0A0G2K943,Ap2a2,Ap2a2,unreviewed
,,,Rattus norvegicus (Rat),F1MAJ0,Ephb2,Ephb2,unreviewed
,,,Rattus norvegicus (Rat),Q80U96,Xpo1;Crm1,Xpo1,reviewed
,,,Rattus norvegicus (Rat),O35077,Gpd1,Gpd1,reviewed
,,,Rattus norvegicus (Rat),P85834,Tufm,Tufm,reviewed
,,,Rattus norvegicus (Rat),Q8K4Q9,Gja8,Gja8,reviewed
,,,Rattus norvegicus (Rat),A0A0G2JSV0,Ndrg2;rCG_61241,Ndrg2,unreviewed
,,,Rattus norvegicus (Rat),Q6AXM7,Hbs1l,Hbs1l,reviewed
,,,Rattus norvegicus (Rat),P23593,Apod,Apod,reviewed
,,,Rattus norvegicus (Rat),D4ABN3,Synj1,Synj1,unreviewed
,,,Rattus norvegicus (Rat),G3V689,Cblb;rCG_52937,Cblb,unreviewed
,,,Rattus norvegicus (Rat),P21707,Syt1,Syt1,reviewed
,,,Rattus norvegicus (Rat),B2RYD0,Ube2g2;Ube2g2_predicted;rCG_60979,Ube2g2,unreviewed
,,,Rattus norvegicus (Rat),D3ZAF6,Atp5mf;Atp5j2,Atp5mf,reviewed
,,,Rattus norvegicus (Rat),A0A096MK10,Selp,Selp,unreviewed
,,,Rattus norvegicus (Rat),A0A0G2K603,Angptl1;rCG_46196,Angptl1,unreviewed
,,,Rattus norvegicus (Rat),D4A213,Scara5;SCARA5,Scara5,unreviewed
,,,Rattus norvegicus (Rat),Q6MGC9,Phf1;AA926063;B3galt4;Cdk2ap1-ps1;Col11a2;Daxx;Hsd17b8;Kifc1;LOC224733l-1;LOC224733l-2;Rps25-ps1;RT1-A1;RT1-A2;RT1-A3;RT1-DOa;RT1-Hb;RT1-Ke4;Rxrb;Sacm2l-ps1;Sacm2l-ps2;Sec61-ps;Syngap1,Phf1,unreviewed
,,,Rattus norvegicus (Rat),Q6AYB3,Isy1,Isy1,reviewed
,,,Rattus norvegicus (Rat),G3V9E4,Apeh,Apeh,unreviewed
,,,Rattus norvegicus (Rat),F1LQ41,Nlgn2,Nlgn2,unreviewed
,,,Rattus norvegicus (Rat),Q5QD51,Akap12,Akap12,reviewed
,,,Rattus norvegicus (Rat),F1LUS1,AABR07060886.1,AABR07060886.1,unreviewed
,,,Rattus norvegicus (Rat),A0A0G2JXS3,Nusap1,Nusap1,unreviewed
,,,Rattus norvegicus (Rat),P11915,Scp2;Scp-2,Scp2,reviewed
,,,Rattus norvegicus (Rat),A0A0G2JW41,,,unreviewed
,,,Rattus norvegicus (Rat),F1LW91,Numa1,Numa1,unreviewed
,,,Rattus norvegicus (Rat),D3ZQ25,Fbln1,Fbln1,unreviewed
,,,Rattus norvegicus (Rat),Q5XI78,Ogdh;Ogdhl,Ogdh,reviewed
,,,Rattus norvegicus (Rat),D4ACC2,Kank2;rCG_31687,Kank2,unreviewed
,,,Rattus norvegicus (Rat),Q68FR6,Eef1g,Eef1g,reviewed
,,,Rattus norvegicus (Rat),A0A0G2K9W2,Pdlim3,Pdlim3,unreviewed
,,,Rattus norvegicus (Rat),A0A0G2K5S2,Recql,Recql,unreviewed
,,,Rattus norvegicus (Rat),B5DFG6,Ca13;Car13;rCG_41588,Ca13,unreviewed
,,,Rattus norvegicus (Rat),A0A0H2UI17,Ppm1h,Ppm1h,unreviewed
,,,Rattus norvegicus (Rat),B5DFE7,Rcor3,Rcor3,unreviewed
,,,Rattus norvegicus (Rat),P0C5E3,Palld,Palld,reviewed
,,,Rattus norvegicus (Rat),O08651,Phgdh,Phgdh,reviewed
,,,Rattus norvegicus (Rat),Q7TPJ3,Gusb,Gusb,unreviewed
,,,Rattus norvegicus (Rat),A0A0G2K2L3,Sprr1b,Sprr1b,unreviewed
,,,Rattus norvegicus (Rat),Q53B90,Rab43,Rab43,reviewed
,,,Rattus norvegicus (Rat),Q7TQN6,Opn5;Gpr136,Opn5,unreviewed
,,,Rattus norvegicus (Rat),B0BNG7,Nudt16l1;LOC497867;rCG_49890,Nudt16l1,unreviewed
,,,Rattus norvegicus (Rat),A0A0G2JY31,Serpina1;rCG_20666,Serpina1,unreviewed
,,,Rattus norvegicus (Rat),P26817,Grk2;Adrbk1,Grk2,reviewed
,,,Rattus norvegicus (Rat),A0A0H2UHR2,Myoz3,Myoz3,unreviewed
,,,Rattus norvegicus (Rat),Q66HI5,Fth1;rCG_47136,Fth1,unreviewed
,,,Rattus norvegicus (Rat),D3ZQ55,Jph1;Jph1_predicted;rCG_30477,Jph1,unreviewed
,,,Rattus norvegicus (Rat),Q7TPB1,Cct4,Cct4,reviewed
,,,Rattus norvegicus (Rat),A0A0G2JTP6,Plin1,Plin1,unreviewed
,,,Rattus norvegicus (Rat),Q62952,Dpysl3;Crmp4,Dpysl3,reviewed
,,,Rattus norvegicus (Rat),Q9QX79,Fetub,Fetub,reviewed
,,,Rattus norvegicus (Rat),Q920L2,Sdha,Sdha,reviewed
,,,Rattus norvegicus (Rat),Q0ZFS6,Ifrd2;Ifrd2_predicted;rCG_25077,Ifrd2,unreviewed
,,,Rattus norvegicus (Rat),B2RYA6,Prcc;Prcc_predicted;rCG_62679,Prcc,unreviewed
,,,Rattus norvegicus (Rat),Q5M860,Arhgdib;rCG_29608,Arhgdib,unreviewed
,,,Rattus norvegicus (Rat),Q8VBU2,Ndrg2,Ndrg2,reviewed
,,,Rattus norvegicus (Rat),P09606,Glul;Glns,Glul,reviewed
,,,Rattus norvegicus (Rat),P35571,Gpd2,Gpd2,reviewed
,,,Rattus norvegicus (Rat),D4A5T1,Sf3b5;rCG_63240,Sf3b5,unreviewed
,,,Rattus norvegicus (Rat),P62078,Timm8b;Ddp2;Tim8b,Timm8b,reviewed
,,,Rattus norvegicus (Rat),Q4G086,Bnip3l;rCG_52176,Bnip3l,unreviewed
,,,Rattus norvegicus (Rat),Q4V882,Epn3,Epn3,reviewed
